Level5,Type1_Level5,Type1_Level4,Type1_Level3,Type1_Level2,Type1_Level1,Type2_Level5,Type2_Level4,Type2_Level3,Type2_Level2,Type2_Level1,ROI
1,1,1,1,1,1,1,1,1,1,1,SFG_L
2,2,2,2,2,2,2,2,2,2,2,SFG_R
3,3,1,1,1,1,3,1,1,1,1,SFG_PFC_L
4,4,2,2,2,2,4,2,2,2,2,SFG_PFC_R
5,5,1,1,1,1,5,1,1,1,1,SFG_pole_L
6,6,2,2,2,2,6,2,2,2,2,SFG_pole_R
7,7,3,1,1,1,7,1,1,1,1,MFG_L
8,8,4,2,2,2,8,2,2,2,2,MFG_R
9,9,3,1,1,1,9,1,1,1,1,MFG_DPFC_L
10,10,4,2,2,2,10,2,2,2,2,MFG_DPFC_R
11,11,5,1,1,1,11,1,1,1,1,IFG_opercularis_L
12,12,6,2,2,2,12,2,2,2,2,IFG_opercularis_R
13,13,5,1,1,1,13,1,1,1,1,IFG_orbitalis_L
14,14,6,2,2,2,14,2,2,2,2,IFG_orbitalis_R
15,15,5,1,1,1,15,1,1,1,1,IFG_triangularis_L
16,16,6,2,2,2,16,2,2,2,2,IFG_triangularis_R
17,17,7,1,1,1,17,1,1,1,1,LFOG_L
18,18,8,2,2,2,18,2,2,2,2,LFOG_R
19,19,7,1,1,1,19,1,1,1,1,MFOG_L
20,20,8,2,2,2,20,2,2,2,2,MFOG_R
21,21,9,1,1,1,21,1,1,1,1,RG_L
22,22,10,2,2,2,22,2,2,2,2,RG_R
23,23,11,3,1,1,23,3,3,1,1,PoCG_L
24,24,12,4,2,2,24,4,4,2,2,PoCG_R
25,25,13,1,1,1,25,1,1,1,1,PrCG_L
26,26,14,2,2,2,26,2,2,2,2,PrCG_R
27,27,15,3,1,1,27,3,3,1,1,SPG_L
28,28,16,4,2,2,28,4,4,2,2,SPG_R
29,29,17,3,1,1,29,3,3,1,1,SMG_L
30,30,18,4,2,2,30,4,4,2,2,SMG_R
31,31,19,3,1,1,31,3,3,1,1,AG_L
32,32,20,4,2,2,32,4,4,2,2,AG_R
33,33,21,3,1,1,33,3,3,1,1,PrCu_L
