ROI#,Label,Region
1,SFG_L,SUPERIOR FRONTAL GYRUS left
2,SFG_R,SUPERIOR FRONTAL GYRUS right
3,SFG_PFC_L,Superior frontal gyrus (prefrontal cortex) left
4,SFG_PFC_R,Superior frontal gyrus (prefrontal cortex) right
5,SFG_pole_L,superior frontal gyrus (frontal pole) left
6,SFG_pole_R,superior frontal gyrus (frontal pole) right
7,MFG_L,MIDDLE FRONTAL GYRUS left
8,MFG_R,MIDDLE FRONTAL GYRUS right
9,MFG_DPFC_L,Middle frontal gyrus (dorsal prefrontal cortex) left
10,MFG_DPFC_R,Middle frontal gyrus (dorsal prefrontal cortex) right
11,IFG_opercularis_L,inferior frontal gyrus pars opercularis left
12,IFG_opercularis_R,inferior frontal gyrus pars opercularis right
13,IFG_orbitalis_L,inferior frontal gyrus pars orbitralis left
14,IFG_orbitalis_R,inferior frontal gyrus pars orbitralis right
15,IFG_triangularis_L,inferior frontal gyrus pars triangularis left
16,IFG_triangularis_R,inferior frontal gyrus pars triangularis right
17,LFOG_L,LATERAL FRONTO-ORBITAL GYRUS left
18,LFOG_R,LATERAL FRONTO-ORBITAL GYRUS right
19,MFOG_L,MIDDLE FRONTO-ORBITAL GYRUS
20,MFOG_R,MIDDLE FRONTO-ORBITAL GYRUS right
21,RG_L,GYRUS RECTUS
22,RG_R,GYRUS RECTUS right
23,PoCG_L,POSTCENTRAL GYRUS left
24,PoCG_R,POSTCENTRAL GYRUS right
25,PrCG_L,PRECENTRAL GYRUS left
26,PrCG_R,PRECENTRAL GYRUS right
27,SPG_L,SUPERIOR PARIETAL GYRUS left
28,SPG_R,SUPERIOR PARIETAL GYRUS right
29,SMG_L,SUPRAMARGINAL GYRUS
30,SMG_R,SUPRAMARGINAL GYRUS right
31,AG_L,ANGULAR GYRUS left
32,AG_R,ANGULAR GYRUS right
33,PrCu_L,PRE-CUNEUS left
34,PrCu_R,PRE-CUNEUS right
35,STG_L,SUPERIOR TEMPORAL GYRUS left
36,STG_R,SUPERIOR TEMPORAL GYRUS right
37,STG_pole_L,Pole of the SUPERIOR TEMPORAL GYRUS left
38,STG_pole_R,Pole of the SUPERIOR TEMPORAL GYRUS right
39,MTG_L,MIDDLE TEMPORAL GYRUS left
40,MTG_R,MIDDLE TEMPORAL GYRUS right
41,MTG_pole_L,Pole of the MIDDLE TEMPORAL GYRUS left
42,MTG_pole_R,Pole of the MIDDLE TEMPORAL GYRUS right
43,ITG_L,INFERIOR TEMPORAL GYRUS left
44,ITG_R,INFERIOR TEMPORAL GYRUS right
45,PHG_L,PARAHIPPOCAMPAL GYRUS left
46,PHG_R,PARAHIPPOCAMPAL GYRUS right
47,ENT_L,ENTORHINAL AREA left
48,ENT_R,ENTORHINAL AREA right
49,FuG_L,FUSIFORM GYRUS left
50,FuG_R,FUSIFORM GYRUS right
51,SOG_L,SUPERIOR OCCIPITAL GYRUS left
52,SOG_R,SUPERIOR OCCIPITAL GYRUS right
53,MOG_L,MIDDLE OCCIPITAL GYRUS left
54,MOG_R,MIDDLE OCCIPITAL GYRUS right
55,IOG_L,INFERIOR OCCIPITAL GYRUS left
